network,registered_country_geoname_id
2.16.170.236/31,
2.16.170.238/31,
2.16.170.240/32,
2.16.170.241/32,
2.16.170.242/31,
2.16.170.244/30,
2.16.170.248/29,
2.16.171.0/24,
2.16.172.0/26,
2.16.172.64/27,
2.16.172.96/30,
2.16.172.100/30,
2.16.172.104/30,
2.16.172.108/30,
2.16.172.112/30,
2.16.172.116/30,
2.16.172.120/30,
2.16.172.124/30,
2.16.172.128/30,
2.16.172.132/30,
2.16.172.136/30,
2.16.172.140/30,
2.16.172.144/30,
2.16.172.148/30,
2.16.172.152/30,
2.16.172.156/30,
2.16.172.160/30,
2.16.172.164/30,
2.16.172.168/29,
2.16.172.176/28,
2.16.172.192/26,
2.16.173.0/24,
2.16.174.0/23,
2.16.176.0/22,
2.16.180.0/24,
2.16.181.0/30,
2.16.181.4/30,
2.16.181.8/30,
2.16.181.12/30,
2.16.181.16/30,
2.16.181.20/30,
2.16.181.24/30,
2.16.181.28/30,
2.16.181.32/30,
2.16.181.36/30,
2.16.181.40/30,
2.16.181.44/32,
2.16.181.45/32,
2.16.181.46/32,
2.16.181.47/32,
2.16.181.48/30,
2.16.181.52/30,
2.16.181.56/30,
2.16.181.60/30,
2.16.181.64/30,
2.16.181.68/30,
2.16.181.72/29,
2.16.181.80/28,
2.16.181.96/29,
2.16.181.104/30,
2.16.181.108/30,
2.16.181.112/30,
2.16.181.116/30,
2.16.181.120/30,
2.16.181.124/32,
2.16.181.125/32,
2.16.181.126/31,
2.16.181.128/30,
2.16.181.132/30,
2.16.181.136/30,
2.16.181.140/30,
2.16.181.144/30,
2.16.181.148/30,
2.16.181.152/30,
2.16.181.156/30,
2.16.181.160/30,
2.16.181.164/31,
2.16.181.166/32,
2.16.181.167/32,
2.16.181.168/30,
2.16.181.172/32,
2.16.181.173/32,
2.16.181.174/31,
2.16.181.176/30,
2.16.181.180/31,
2.16.181.182/32,
2.16.181.183/32,
2.16.181.184/30,
2.16.181.188/30,
2.16.181.192/30,
2.16.181.196/30,
2.16.181.200/30,
2.16.181.204/30,
2.16.181.208/30,
2.16.181.212/30,
2.16.181.216/30,
2.16.181.220/30,
2.16.181.224/30,
2.16.181.228/30,
2.16.181.232/29,
2.16.181.240/28,
2.16.182.0/24,
2.16.183.0/30,
2.16.183.4/32,
2.16.183.5/32,
2.16.183.6/31,
2.16.183.8/30,
2.16.183.12/32,
2.16.183.13/32,
2.16.183.14/31,
2.16.183.16/30,
